2023-05-02 19:55:48,193 - {'K': 5, 'attention_dropout': 0.1, 'batch_size': 128, 'bidirectional': True, 'ckpts_dir': './ckpts/yelp/', 'd_step': 1, 'data_dir': './data/yelp/', 'dataset': 'yelp', 'device': 'cuda', 'dropout': 0.1, 'elasticsearch_index': 'yelp', 'elasticsearch_server': 'https://127.0.0.1:9200', 'embedding_size': 256, 'epochs': 10, 'hidden_size': 512, 'init_lr': 1e-05, 'load_pretrain': True, 'log_file': './outputs/yelp/log.txt', 'max_grad_norm': 3.0, 'max_length': 18, 'max_lr': 0.0008, 'min_lr': 5e-05, 'nlayers': 1, 'num_filters': 64, 'out_dir': './outputs/yelp/', 'pretrain_epochs': 15, 'retriever': 'dense', 'style_feature_size': 512, 'teacher_forcing_ratio': 0.0, 'update_step': 200, 'warmup_steps': 3000}
2023-05-02 19:56:24,592 - load word_embedding.weight from word_embedding.weight
2023-05-02 19:56:24,593 - load content_enc.rnn.weight_ih_l0 from encoder.rnn.weight_ih_l0
2023-05-02 19:56:24,594 - load style_enc.rnn.weight_ih_l0 from encoder.rnn.weight_ih_l0
2023-05-02 19:56:24,594 - load dec.rnn.weight_ih_l0 from encoder.rnn.weight_ih_l0
2023-05-02 19:56:24,595 - load content_enc.rnn.weight_hh_l0 from encoder.rnn.weight_hh_l0
2023-05-02 19:56:24,595 - load style_enc.rnn.weight_hh_l0 from encoder.rnn.weight_hh_l0
2023-05-02 19:56:24,596 - load dec.rnn.weight_hh_l0 from encoder.rnn.weight_hh_l0
2023-05-02 19:56:24,597 - load content_enc.rnn.bias_ih_l0 from encoder.rnn.bias_ih_l0
2023-05-02 19:56:24,597 - load style_enc.rnn.bias_ih_l0 from encoder.rnn.bias_ih_l0
2023-05-02 19:56:24,597 - load dec.rnn.bias_ih_l0 from encoder.rnn.bias_ih_l0
2023-05-02 19:56:24,598 - load content_enc.rnn.bias_hh_l0 from encoder.rnn.bias_hh_l0
2023-05-02 19:56:24,599 - load style_enc.rnn.bias_hh_l0 from encoder.rnn.bias_hh_l0
2023-05-02 19:56:24,599 - load dec.rnn.bias_hh_l0 from encoder.rnn.bias_hh_l0
2023-05-02 19:56:24,600 - load content_enc.rnn.weight_ih_l0_reverse from encoder.rnn.weight_ih_l0_reverse
2023-05-02 19:56:24,600 - load style_enc.rnn.weight_ih_l0_reverse from encoder.rnn.weight_ih_l0_reverse
2023-05-02 19:56:24,601 - load content_enc.rnn.weight_hh_l0_reverse from encoder.rnn.weight_hh_l0_reverse
2023-05-02 19:56:24,602 - load style_enc.rnn.weight_hh_l0_reverse from encoder.rnn.weight_hh_l0_reverse
2023-05-02 19:56:24,604 - load content_enc.rnn.bias_ih_l0_reverse from encoder.rnn.bias_ih_l0_reverse
2023-05-02 19:56:24,604 - load style_enc.rnn.bias_ih_l0_reverse from encoder.rnn.bias_ih_l0_reverse
2023-05-02 19:56:24,605 - load content_enc.rnn.bias_hh_l0_reverse from encoder.rnn.bias_hh_l0_reverse
2023-05-02 19:56:24,606 - load style_enc.rnn.bias_hh_l0_reverse from encoder.rnn.bias_hh_l0_reverse
2023-05-02 19:56:24,607 - load h2word.weight from h2word.weight
2023-05-02 19:56:24,608 - load h2word.bias from h2word.bias
2023-05-02 19:56:24,612 - Loading pretrained params done!
2023-05-02 19:56:49,349 - Updating query embeddings.. 
2023-05-02 20:01:04,667 - epoch 1, step 1/2080, losses: 35.08, rec_loss: 10.37, cyc_loss: 9.82, adv_loss: 1.43, cos_loss: 0.49, bow_loss: 12.98, dis_loss: 1.25, lr_G: 0.00001, lr_D:0.00001
2023-05-02 20:01:35,688 - epoch 1, step 21/2080, losses: 26.50, rec_loss: 7.85, cyc_loss: 7.91, adv_loss: 1.10, cos_loss: 0.43, bow_loss: 9.21, dis_loss: 1.09, lr_G: 0.00002, lr_D:0.00002
2023-05-02 20:01:52,047 - epoch 1, step 41/2080, losses: 23.29, rec_loss: 6.67, cyc_loss: 6.77, adv_loss: 1.16, cos_loss: 0.42, bow_loss: 8.28, dis_loss: 0.94, lr_G: 0.00002, lr_D:0.00002
2023-05-02 20:02:07,908 - epoch 1, step 61/2080, losses: 21.76, rec_loss: 6.15, cyc_loss: 6.32, adv_loss: 1.04, cos_loss: 0.40, bow_loss: 7.85, dis_loss: 0.94, lr_G: 0.00003, lr_D:0.00003
2023-05-02 20:02:24,033 - epoch 1, step 81/2080, losses: 20.46, rec_loss: 5.78, cyc_loss: 5.94, adv_loss: 1.34, cos_loss: 0.35, bow_loss: 7.06, dis_loss: 0.80, lr_G: 0.00003, lr_D:0.00003
2023-05-02 20:02:39,735 - epoch 1, step 101/2080, losses: 20.01, rec_loss: 5.58, cyc_loss: 5.75, adv_loss: 1.51, cos_loss: 0.34, bow_loss: 6.84, dis_loss: 0.76, lr_G: 0.00004, lr_D:0.00004
2023-05-02 20:02:55,459 - epoch 1, step 121/2080, losses: 19.49, rec_loss: 5.41, cyc_loss: 5.56, adv_loss: 1.42, cos_loss: 0.33, bow_loss: 6.77, dis_loss: 0.72, lr_G: 0.00004, lr_D:0.00004
2023-05-02 20:03:11,202 - epoch 1, step 141/2080, losses: 19.55, rec_loss: 5.41, cyc_loss: 5.62, adv_loss: 1.40, cos_loss: 0.37, bow_loss: 6.75, dis_loss: 0.70, lr_G: 0.00005, lr_D:0.00005
2023-05-02 20:03:27,053 - epoch 1, step 161/2080, losses: 17.31, rec_loss: 5.01, cyc_loss: 5.33, adv_loss: 0.68, cos_loss: 0.29, bow_loss: 6.01, dis_loss: 0.92, lr_G: 0.00005, lr_D:0.00005
2023-05-02 20:03:42,830 - epoch 1, step 181/2080, losses: 19.00, rec_loss: 5.24, cyc_loss: 5.56, adv_loss: 1.33, cos_loss: 0.38, bow_loss: 6.49, dis_loss: 0.61, lr_G: 0.00006, lr_D:0.00006
2023-05-02 20:03:57,756 - Updating query embeddings.. 
2023-05-02 20:04:08,328 - epoch 1, step 201/2080, losses: 18.22, rec_loss: 5.01, cyc_loss: 5.28, adv_loss: 1.07, cos_loss: 0.30, bow_loss: 6.57, dis_loss: 0.74, lr_G: 0.00006, lr_D:0.00006
2023-05-02 20:04:23,647 - epoch 1, step 221/2080, losses: 17.29, rec_loss: 4.83, cyc_loss: 5.25, adv_loss: 0.62, cos_loss: 0.26, bow_loss: 6.33, dis_loss: 0.83, lr_G: 0.00007, lr_D:0.00007
2023-05-02 20:04:39,245 - epoch 1, step 241/2080, losses: 18.67, rec_loss: 5.03, cyc_loss: 5.42, adv_loss: 1.49, cos_loss: 0.28, bow_loss: 6.44, dis_loss: 0.56, lr_G: 0.00007, lr_D:0.00007
2023-05-02 20:04:54,767 - epoch 1, step 261/2080, losses: 18.46, rec_loss: 4.90, cyc_loss: 5.26, adv_loss: 1.43, cos_loss: 0.27, bow_loss: 6.61, dis_loss: 0.54, lr_G: 0.00008, lr_D:0.00008
2023-05-02 20:05:10,232 - epoch 1, step 281/2080, losses: 16.88, rec_loss: 4.69, cyc_loss: 5.18, adv_loss: 0.51, cos_loss: 0.24, bow_loss: 6.25, dis_loss: 1.00, lr_G: 0.00008, lr_D:0.00008
